FPR,TPR
0.0,0.0012350761630300535
0.0006593116786075338,0.22622478386167147
0.0016263021405652498,0.2700699876492384
0.002505384378708628,0.29641827912721286
0.0029449254977803175,0.3184438040345821
0.003472374840666344,0.33326471799094276
0.0038240077359236956,0.34602717167558666
0.003999824183552371,0.3561136270069988
0.004307502966902554,0.3659942363112392
0.004571227638345567,0.37710992177850966
0.004790998197881412,0.3836969946480033
0.005054722869324425,0.3892548373816385
0.005362401652674608,0.3962536023054755
0.005801942771746297,0.40284067517496913
0.006109621555096479,0.40592836558254425
0.006285438002725155,0.4127212844792095
0.006505208562260999,0.4184849732400165
0.006637070897982506,0.4258954302181968
0.006812887345611182,0.43062988884314535
0.006944749681332688,0.43557019349526555
0.007164520240868533,0.4427748044462742
0.007472199024218715,0.44648003293536437
0.007560107248033053,0.45059695347879786
0.00769196958375456,0.453684643886373
0.007823831919476066,0.4569781803211198
0.008043602479011912,0.4592424866200082
0.008043602479011912,0.46212433100041167
0.00813151070282625,0.46562371346233017
0.008219418926640588,0.46788801976121863
0.0084831435980836,0.4699464800329354
0.008571051821897938,0.47324001646768216
0.008702914157619446,0.47591601482091395
0.008702914157619446,0.4792095512556608
0.00887873060524812,0.47982708933717577
0.009010592940969628,0.4812680115273775
0.009054547052876796,0.484149855907781
0.00927431761241264,0.4866200082338411
0.009494088171948486,0.49011939069575955
0.009538042283855654,0.49197200494030463
0.009669904619577162,0.49403046521202143
0.009889675179113006,0.49526554137505147
0.009933629291020174,0.49629477151090984
0.010197353962463188,0.4983532317826266
0.010329216298184694,0.4991766158913133
0.01050503274581337,0.5008233841086867
0.01050503274581337,0.5032935364347468
0.01054898685772054,0.5039110745162618
0.010680849193442046,0.5057636887608069
0.010812711529163552,0.506998764923837
0.010856665641070722,0.5080279950596953
0.011032482088699398,0.5096747632770687
0.011032482088699398,0.5115273775216138
0.011120390312513736,0.5125566076574722
0.011208298536328074,0.513997529847674
0.011208298536328074,0.5156442980650473
0.011252252648235242,0.5170852202552491
0.011252252648235242,0.517702758336764
0.011428069095863918,0.5193495265541375
0.011515977319678256,0.5207904487443392
0.011647839655399762,0.522231370934541
0.011647839655399762,0.5230547550432276
0.011647839655399762,0.524083985179086
0.011647839655399762,0.5253190613421161
0.011691793767306932,0.5267599835323178
0.011691793767306932,0.5273775216138329
0.0117357478792141,0.5288184438040345
0.011823656103028438,0.530465212021408
0.011823656103028438,0.5319061342116097
0.011867610214935606,0.5331412103746398
0.011911564326842776,0.5333470564018115
0.011911564326842776,0.5349938246191849
0.011911564326842776,0.5364347468093866
0.011955518438749944,0.5376698229724166
0.012043426662564282,0.5384932070811034
0.01213133488637862,0.5391107451626184
