ImageID,ExpCAM,Threshold,CenterX,CenterY,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=8,r=9,r=10,r=11,r=12,r=13,r=14,r=15,r=16,r=17,r=18,r=19,r=20,r=21,r=22,r=23,r=24,r=25,r=26,r=27,r=28,r=29,r=30,r=31,r=32,r=33,r=34,r=35,r=36,r=37,r=38,r=39,r=40,r=41,r=42,r=43,r=44,r=45,r=46,r=47,r=48,r=49,r=50,r=51,r=52,r=53,r=54,r=55,r=56,r=57,r=58,r=59,r=60,r=61,r=62,r=63,r=64,r=65,r=66,r=67,r=68,r=69
540005495_20180130_151_ax_fg,scorecam,0.3,113,111,0.0,0.016853932584269662,0.05056179775280899,0.10112359550561797,0.15730337078651685,0.20224719101123595,0.23595505617977527,0.24719101123595505,0.24719101123595505,0.24719101123595505,0.24719101123595505,0.2808988764044944,0.33707865168539325,0.42134831460674155,0.5168539325842697,0.6235955056179775,0.7415730337078652,0.8426966292134831,0.9213483146067416,0.9775280898876404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540005495_20180130_152_ax_fg,scorecam,0.3,114,113,0.014778325123152709,0.04433497536945813,0.06896551724137931,0.12807881773399016,0.1921182266009852,0.2512315270935961,0.3054187192118227,0.32019704433497537,0.3251231527093596,0.3251231527093596,0.3251231527093596,0.33497536945812806,0.3497536945812808,0.37438423645320196,0.43349753694581283,0.5024630541871922,0.5862068965517241,0.6847290640394089,0.7931034482758621,0.8768472906403941,0.9458128078817734,0.9950738916256158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540005495_20180130_153_ax_fg,scorecam,0.3,110,113,0.0,0.0,0.02072538860103627,0.05181347150259067,0.09326424870466321,0.14507772020725387,0.19689119170984457,0.24352331606217617,0.29015544041450775,0.32642487046632124,0.36787564766839376,0.40932642487046633,0.45595854922279794,0.49740932642487046,0.5699481865284974,0.6424870466321243,0.7305699481865285,0.7979274611398963,0.8549222797927462,0.917098445595855,0.9585492227979274,0.9896373056994818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540005495_20180130_154_ax_fg,scorecam,0.3,113,112,0.0,0.014634146341463415,0.04390243902439024,0.08780487804878048,0.16097560975609757,0.22439024390243903,0.28292682926829266,0.33170731707317075,0.3853658536585366,0.4146341463414634,0.44878048780487806,0.47804878048780486,0.5121951219512195,0.5756097560975609,0.6585365853658537,0.751219512195122,0.8341463414634146,0.9170731707317074,0.9463414634146341,0.9707317073170731,0.9951219512195122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540005495_20180130_155_ax_fg,scorecam,0.3,113,113,0.0,0.004310344827586207,0.021551724137931036,0.05172413793103448,0.10344827586206896,0.16810344827586207,0.23706896551724138,0.2974137931034483,0.34051724137931033,0.38362068965517243,0.41810344827586204,0.4482758620689655,0.47413793103448276,0.521551724137931,0.5862068965517241,0.6724137931034483,0.7586206896551724,0.8663793103448276,0.9310344827586207,0.9655172413793104,0.9913793103448276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540005495_20180130_156_ax_fg,scorecam,0.3,111,111,0.003861003861003861,0.015444015444015444,0.023166023166023165,0.03861003861003861,0.05791505791505792,0.09266409266409266,0.13127413127413126,0.16602316602316602,0.21235521235521235,0.25868725868725867,0.3088803088803089,0.3745173745173745,0.4749034749034749,0.583011583011583,0.6833976833976834,0.7722007722007722,0.8455598455598455,0.8996138996138996,0.9575289575289575,0.9845559845559846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540005495_20180130_157_ax_fg,scorecam,0.3,111,110,0.0,0.0035087719298245615,0.017543859649122806,0.03508771929824561,0.06315789473684211,0.09473684210526316,0.13333333333333333,0.17192982456140352,0.21403508771929824,0.2736842105263158,0.3368421052631579,0.4245614035087719,0.512280701754386,0.6105263157894737,0.712280701754386,0.7964912280701755,0.8771929824561403,0.9368421052631579,0.9719298245614035,0.9929824561403509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540005495_20180130_158_ax_fg,scorecam,0.3,112,110,0.0,0.0,0.009230769230769232,0.03076923076923077,0.06153846153846154,0.10153846153846154,0.15076923076923077,0.20923076923076922,0.2553846153846154,0.3169230769230769,0.39076923076923076,0.4461538461538462,0.5230769230769231,0.5876923076923077,0.683076923076923,0.7569230769230769,0.8307692307692308,0.9076923076923077,0.9538461538461539,0.9815384615384616,0.9969230769230769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540005495_20180130_159_ax_fg,scorecam,0.3,112,110,0.00267379679144385,0.0106951871657754,0.02406417112299465,0.05080213903743316,0.07754010695187166,0.11497326203208556,0.1657754010695187,0.20855614973262032,0.2700534759358289,0.3315508021390374,0.40106951871657753,0.47058823529411764,0.5294117647058824,0.5962566844919787,0.6711229946524064,0.7620320855614974,0.8449197860962567,0.9144385026737968,0.9598930481283422,0.983957219251337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540005495_20180130_160_ax_fg,scorecam,0.3,109,110,0.0,0.00477326968973747,0.011933174224343675,0.02386634844868735,0.04295942720763723,0.06682577565632458,0.1026252983293556,0.14558472553699284,0.20286396181384247,0.2553699284009546,0.31742243436754175,0.3818615751789976,0.45346062052505964,0.5322195704057279,0.60381861575179,0.6730310262529833,0.7589498806682577,0.8281622911694511,0.8878281622911695,0.9307875894988067,0.954653937947494,0.9809069212410502,0.9928400954653938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540005495_20180130_161_ax_fg,scorecam,0.3,112,110,0.008565310492505354,0.019271948608137045,0.034261241970021415,0.055674518201284794,0.08993576017130621,0.1349036402569593,0.1777301927194861,0.2334047109207709,0.2955032119914347,0.3511777301927195,0.41113490364025695,0.4753747323340471,0.5310492505353319,0.588865096359743,0.6595289079229122,0.728051391862955,0.8072805139186295,0.867237687366167,0.9207708779443254,0.9507494646680942,0.974304068522484,0.987152034261242,0.9957173447537473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540005495_20180130_162_ax_fg,scorecam,0.3,111,110,0.005681818181818182,0.017045454545454544,0.03598484848484849,0.0625,0.09848484848484848,0.13825757575757575,0.1856060606060606,0.23863636363636365,0.2935606060606061,0.3446969696969697,0.4034090909090909,0.4659090909090909,0.5189393939393939,0.5757575757575758,0.6382575757575758,0.7215909090909091,0.7916666666666666,0.8598484848484849,0.9128787878787878,0.9450757575757576,0.9696969696969697,0.9829545454545454,0.9962121212121212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540005495_20180130_163_ax_fg,scorecam,0.3,112,111,0.005119453924914676,0.015358361774744027,0.034129692832764506,0.059726962457337884,0.09556313993174062,0.13993174061433447,0.18430034129692832,0.24061433447098976,0.29692832764505117,0.34812286689419797,0.40273037542662116,0.4539249146757679,0.5221843003412969,0.5767918088737202,0.6416382252559727,0.7064846416382252,0.7627986348122867,0.8225255972696246,0.8805460750853242,0.9351535836177475,0.9658703071672355,0.984641638225256,0.9948805460750854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540005495_20180130_164_ax_fg,scorecam,0.3,112,112,0.0015748031496062992,0.011023622047244094,0.026771653543307086,0.05511811023622047,0.08976377952755905,0.13385826771653545,0.17795275590551182,0.2220472440944882,0.2566929133858268,0.30393700787401573,0.3480314960629921,0.3952755905511811,0.45354330708661417,0.5181102362204725,0.5779527559055118,0.6283464566929133,0.6850393700787402,0.7354330708661417,0.7905511811023622,0.8456692913385827,0.889763779527559,0.9354330708661417,0.9606299212598425,0.9811023622047244,0.9952755905511811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540005495_20180130_165_ax_fg,scorecam,0.3,112,112,0.0,0.011730205278592375,0.026392961876832845,0.054252199413489736,0.08504398826979472,0.12023460410557185,0.16422287390029325,0.20674486803519063,0.250733137829912,0.2785923753665689,0.31671554252199413,0.36363636363636365,0.4222873900293255,0.49266862170087977,0.5601173020527859,0.626099706744868,0.6920821114369502,0.7463343108504399,0.8005865102639296,0.8460410557184751,0.8958944281524927,0.9369501466275659,0.9574780058651027,0.9765395894428153,0.9853372434017595,0.998533724340176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540005495_20180130_166_ax_fg,scorecam,0.3,112,113,0.0026666666666666666,0.010666666666666666,0.028,0.052,0.08666666666666667,0.12533333333333332,0.16533333333333333,0.20933333333333334,0.24533333333333332,0.2786666666666667,0.31466666666666665,0.364,0.42533333333333334,0.484,0.548,0.6106666666666667,0.6733333333333333,0.732,0.7813333333333333,0.832,0.88,0.9253333333333333,0.952,0.9653333333333334,0.9826666666666667,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
